pool,chain,project,symbol,tvlUsd,apyBase,apyReward,apy,rewardTokens,apyPct1D,apyPct7D,apyPct30D,stablecoin,ilRisk,exposure,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apyMean30d,volumeUsd1d,volumeUsd7d,apyBaseInception,predictedClass,predictedProbability,binnedConfidence
c24d9138-51aa-48f4-a445-7f33bf7bf5fb,Ethereum,stargate,USDC,41568613,,3.87562,3.87562,['0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6'],0.01536,0.10157,-0.83092,True,no,single,,4.21032,0.04851,344,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,3.97247,,,,Down,50.0,1.0
a349fea4-d780-4e16-973e-70ca9b606db2,Ethereum,aave-v2,USDC,36255674,7.38374,,7.38374,,-1.85077,-8.55357,4.73686,True,no,single,,1.858,0.1172,379,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,5.43011,,,,Down,72.0,2.0
7be3388a-0591-4281-a6f3-eff3217693fa,Ethereum,yearn-finance,DAI,35377977,,,5.13602,,-0.04006,-0.22884,2.28279,True,no,single,,2.62531,0.08018,502,False,['0x6B175474E89094C44Da98b954EedeAC495271d0F'],,,4.76629,,,,Down,64.0,2.0
099d7bf7-e56f-46f9-8771-8721ce8872bf,Ethereum,conic-finance,USDC,31771550,0.94585,13.80456,14.7504,"['0x9aE380F0272E2162340a5bB646c354271c0F5cFC', '0xD533a949740bb3306d119CC777fa900bA034cd52', '0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B']",-1.48148,-0.23185,6.02553,True,no,single,,12.83281,0.23596,158,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,13.40626,,,,Down,79.0,3.0
aa70268e-4b52-42bf-a116-608b370f9501,Ethereum,aave-v3,USDC,25520604,6.15886,,6.15886,,0.34936,-2.35209,3.67008,True,no,single,,2.76495,0.1855,185,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,4.71988,,,,Down,73.0,2.0
72124487-ba91-46d8-907e-31b8eca90af3,Ethereum,yearn-finance,USDC,24691581,,,3.27629,,-0.02995,-0.00942,1.27714,True,no,single,,2.03999,0.04936,502,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,3.04833,,,,Stable/Up,62.0,1.0
836e7def-cb99-46f6-8e22-1056a81e4040,Ethereum,curve-dex,LUSD-3CRV,22943479,0.77833,0.47999,1.25832,['0xD533a949740bb3306d119CC777fa900bA034cd52'],-0.19274,0.01778,-1.09564,False,yes,multi,,2.59468,0.1114,545,False,"['0x5f98805A4E8be255a32880FDeC7F6728C6568bA0', '0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490']",-0.00049,,1.35206,,,,Stable/Up,82.0,3.0
e2c09021-0aa8-42b6-a596-5422c2e35399,Ethereum,uniswap-v2,USDC-USDT,21785940,0.45281,,0.45281,,0.14239,0.22455,-0.23021,True,no,multi,,3.11307,0.41909,477,False,"['0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', '0xdac17f958d2ee523a2206206994597c13d831ec7']",0.0,0.48642,0.47387,90090.01273,679300.82557,,Stable/Up,59.0,1.0
a86ee795-54d9-4812-9148-b312967cefe5,Ethereum,uniswap-v2,DAI-USDC,21695746,0.01472,,0.01472,,-0.03158,-0.05217,-0.0191,True,no,multi,,0.23138,0.05805,477,False,"['0x6b175474e89094c44da98b954eedeac495271d0f', '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48']",0.0,0.02389,0.07281,2915.93258,33218.32206,,Stable/Up,74.0,2.0
8d989d6c-99ba-447e-8f3d-3aca98e993fd,Ethereum,curve-dex,FRAX-3CRV,21377385,2.35173,1.37747,3.7292,['0xD533a949740bb3306d119CC777fa900bA034cd52'],-2.10941,-1.53391,2.8291,False,yes,multi,,2.42325,0.07482,545,False,"['0x853d955aCEf822Db058eb8505911ED77F175b99e', '0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490']",-1e-05,,2.55814,,,,Down,56.99999999999999,1.0
