pool,chain,project,symbol,tvlUsd,apyBase,apyReward,apy,rewardTokens,apyPct1D,apyPct7D,apyPct30D,stablecoin,ilRisk,exposure,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apyMean30d,volumeUsd1d,volumeUsd7d,apyBaseInception,predictedClass,predictedProbability,binnedConfidence
eb5029a0-5f29-4e15-9173-6107f214c3b9,Ethereum,tokemak,ETH,8324789,,2.64587,2.64587,['0x2e9d63788249371f1DFC918a52f8d799F4a38C94'],0.06111,0.26191,-0.07286,False,no,single,,5.01221,0.09271,360,False,['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2'],,,2.55722,,,,Stable/Up,87.0,3.0
20e6bdb3-bea2-43fb-8296-b6d5575efb3c,Ethereum,pendle,SFRXETH,8147881,4.91113,,4.91113,,1e-05,-0.02839,-0.13605,False,no,single,For buying PT-sfrxETH-26DEC2024,4.78637,0.01146,120,False,['0xac3e018457b222d93114458476f3e3416abbe38f'],,,4.9367,,,,Stable/Up,51.0,1.0
f426f5a1-e2cf-483a-a6d4-0b37726afb71,Ethereum,aura,WSTETH-SFRXETH-RETH,6930578,0.01,0.01244,0.02244,"['0xC0c293ce456fF0ED870ADd98a0828Dd4d2903DBF', '0xba100000625a3754423978a60c9317c58a424e3D']",-0.03467,0.001,-2.11468,False,no,multi,,5.73795,0.18853,173,False,"['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0xac3E018457B222d93114458476f3E3416Abbe38F', '0xae78736Cd615f374D3085123A210448E74Fc6393']",,,1.08816,,,,Stable/Up,96.0,3.0
a6100577-9d9a-486d-8150-a5f880b60912,Ethereum,gravita-protocol,WSTETH,6708737,,,0.0,,0.0,0.0,0.0,False,no,single,,0.0,0.0,35,False,['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0'],,,0.0,,,,,,
4135ffa3-e55d-49dc-8eb0-00436d9742f6,Ethereum,curve-dex,WETH-STETH,6303313,3.02646,0.00718,3.03364,['0xD533a949740bb3306d119CC777fa900bA034cd52'],-1.7001,-0.70844,0.71858,False,no,multi,,4.34916,0.08557,385,False,"['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84']",-1e-05,,2.76621,,,,Stable/Up,88.0,3.0
9df5043c-ec4a-4362-b1c4-e7e3137d8645,Ethereum,instadapp,ETH,5837628,,,4.41156,,-0.15744,-0.21241,-0.11152,False,no,single,,7.3155,0.16753,397,False,['0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE'],,,4.89833,,,,Stable/Up,84.0,3.0
97f2876b-d4f9-4d86-95fe-da16314c838c,Ethereum,pendle,STETH,5556373,3.68059,,3.68059,,-0.00207,0.02245,0.19587,False,no,single,For buying PT-stETH-30DEC2027,3.54169,0.00988,71,False,['0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0'],,,3.64561,,,,Stable/Up,59.0,1.0
febfb5b4-7485-44bc-ae4a-7b192ac61fe3,Ethereum,curve-dex,ETH-RETH,5194963,3.45428,3.10295,6.55723,['0xD533a949740bb3306d119CC777fa900bA034cd52'],0.82701,-3.77799,3.8062,False,no,multi,,2.28066,0.78967,176,False,"['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0xae78736Cd615f374D3085123A210448E74Fc6393']",-0.00071,,26.95544,,,,Down,56.99999999999999,1.0
ec2b2c23-d4ae-4622-a6da-3da6d27f6e72,Ethereum,fraxlend,WETH,5108907,1.71674,,1.71674,,0.0,0.05738,1.51384,False,no,single,,0.07293,0.01608,280,False,['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2'],,,0.60721,,,,Down,64.0,2.0
5685fa0d-a7cf-4b60-9b77-ff23b4583f81,Ethereum,uniswap-v3,RETH-WETH,4910239,18.79997,,18.79997,,-18.38439,16.8691,18.48371,False,no,multi,0.05%,7.21387,0.43181,493,False,"['0xae78736cd615f374d3085123a210448e74fc6393', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2']",-0.00412,0.47288,5.70336,5058211.36309,21458336.75693,,Down,93.0,3.0
fc7701fc-e290-4606-a8be-9e4ba6c5f91a,Ethereum,convex-finance,ETH-RETH,4900968,3.45428,6.81363,10.26792,"['0xd533a949740bb3306d119cc777fa900ba034cd52', '0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b']",0.56112,-3.66763,6.49663,False,no,multi,,7.01117,0.90983,128,False,"['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0xae78736Cd615f374D3085123A210448E74Fc6393']",,,29.02209,,,,Down,61.0,1.0
991df258-b474-4a40-8482-acf080e8ab39,Ethereum,curve-dex,STETH-FRXETH,4679211,4.16856,3.39719,7.56575,['0xD533a949740bb3306d119CC777fa900bA034cd52'],2.23324,1.30638,4.12086,False,no,multi,,3.17246,0.0634,165,False,"['0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84', '0x5E8422345238F34275888049021821E8E08CAa1f']",0.0,,4.42593,,,,Stable/Up,56.00000000000001,1.0
c9873dab-0979-478c-b48c-3c3a0c935449,Ethereum,convex-finance,STETH-FRXETH,4641906,4.16856,5.35477,9.52333,"['0xd533a949740bb3306d119cc777fa900ba034cd52', '0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b']",2.0354,-2.39741,4.37328,False,no,multi,,6.94919,0.11908,110,False,"['0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84', '0x5E8422345238F34275888049021821E8E08CAa1f']",,,7.25144,,,,Stable/Up,59.0,1.0
2f21af29-c2b4-41ae-b960-02047867ff3f,Ethereum,strike,WETH,4557251,2.61785,2.30878,4.92663,['0x74232704659ef37c08995e386a2e26cc27a8d7b1'],-0.00329,-0.02775,-0.04537,False,no,single,,5.22452,0.031,141,False,['0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2'],,,4.93442,,,,Stable/Up,68.0,2.0
98fb5491-e12b-4197-89a9-5b6524b08f17,Ethereum,unsheth,UNSHETH,4532881,4.09634,8.59,12.68634,['0xe60779cc1b2c1d0580611c526a8df0e3f870ec48'],-1.95111,2.57569,4.07298,False,no,single,,15.92444,0.33729,119,False,['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2'],,,11.42673,,,,Stable/Up,61.0,1.0
07e0cc9c-7cd9-4524-bc64-de989fbbac50,Ethereum,gearbox,WETH,4431995,1.2536,3.83216,5.08577,['0xBa3335588D9403515223F109EdC4eB7269a9Ab5D'],0.04789,-0.75334,-0.54599,False,no,single,,5.51238,0.43098,328,False,['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2'],,,5.96406,,,,Down,70.0,2.0
e144a863-8013-49d4-8c3c-637ffd415308,Ethereum,uniswap-v2,STETH-WETH,4359414,3.55647,,3.55647,,0.07757,-1.55367,-5.22881,False,no,multi,,10.63197,0.53489,476,False,"['0xae7ab96520de3a18e5e111b5eaab095312d7fe84', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2']",-1e-05,6.68597,6.51045,141590.17176,1868391.04144,,Stable/Up,68.0,2.0
24195b31-d749-445f-bf9e-b65aa025ebdd,Ethereum,spark,WETH,3802394,1.87822,,1.87822,,0.28558,1.22339,0.65844,False,no,single,,0.9965,0.02756,92,False,['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2'],,,2.59913,,,,Stable/Up,74.0,2.0
c182eb7e-c3aa-4a5b-aeaa-4b1ef05cbf6d,Ethereum,uwu-lend,WETH,3661893,2.1399,2.87087,5.01077,['0x55c08ca52497e2f1534b59e2917bf524d4765257'],0.14644,0.27115,-1.28225,False,no,single,,7.20496,0.24821,303,False,['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2'],,,7.86581,,,,Stable/Up,64.0,2.0
3680907c-2851-4d9e-baa7-96edf687640d,Ethereum,silo-finance,WSTETH,3530421,0.00027,,0.00027,,0.0,-2e-05,0.00027,False,no,single,,0.0008,0.00046,250,False,"['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",,,0.00012,,,,Stable/Up,70.0,2.0
ef7e5024-51cf-48c3-81e9-92ec1170c212,Ethereum,hord,HETH,3311928,3.33255,2.43779,5.77034,['0x43a96962254855f16b925556f9e97be436a43448'],0.05807,0.19729,-0.25618,False,no,single,,12.13988,0.39317,161,False,['0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2'],,,5.93162,,,,Stable/Up,82.0,3.0
